,Title,Area,Location,Bookmarks,Positive Review,Negative Review,Net Positive Review,Review Count,Rating,PriceRange,Genre,Food,Street,addr
66,SAKEH,Tsim Sha Tsui,"G/F - 1/F, The Bauhinia, 5-9 Observatory Court, Tsim Sha Tsui",15633.0,470.0,8.0,462.0,504,gp1,300,"  Japanese ,  Wine  ",  Wine  , 5-9 Observatory Court,5-9 Observatory Court Tsim Sha Tsui
67,PokéToké,Mong Kok,"Shop 1, G/F, Paradise Square, 3 Kwong Wa Street, Mong Kok",9984.0,281.0,9.0,272.0,324,gp1,75,"  Japanese ,  Salad  ",  Salad  , 3 Kwong Wa Street,3 Kwong Wa Street Mong Kok
68,Deluxe Daieiki Japanese Restaurant 極尚大瀛喜日本料理,Kwun Tong,"5/F, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong",38950.0,682.0,17.0,665.0,833,gp1,300,"  Japanese ,  All you can eat  ",  All you can eat  , 414 Kwun Tong Road,414 Kwun Tong Road Kwun Tong
69,Poke Go (大南街),Sham Shui Po,"G/F, 211 Tai Nan Street, Sham Shui Po",13256.0,263.0,3.0,260.0,293,gp1,75,"  Japanese ,  Organic Food  ",  Organic Food  , 211 Tai Nan Street,211 Tai Nan Street Sham Shui Po
70,Deluxe Daikiya Japanese Restaurant (Crocodile Center) 極尚大喜屋 (鱷魚恤中心),Kwun Tong,"3/F, Crocodile Center, 79 Hoi Yuen Road, Kwun Tong",10874.0,464.0,8.0,456.0,513,gp1,300,"  Japanese ,  All you can eat  ",  All you can eat  , 79 Hoi Yuen Road,79 Hoi Yuen Road Kwun Tong
71,ISHINABE CAFE 石鍋堂,Mong Kok,"Shop D, G/F, Hung Kwong Building, 2A-2P Tung Choi Street, Mong Kok",17983.0,341.0,18.0,323.0,440,gp1,75,"  Japanese ,  Curry  ",  Curry  , 2A-2P Tung Choi Street,2A-2P Tung Choi Street Mong Kok
72,Superior Manya Japanese Restaurant 御滿屋日本料理,Mong Kok,"1/F, Wu Sang House, 655 Nathan Road, Mong Kok",56420.0,846.0,71.0,775.0,1054,gp1,300,"  Japanese ,  Ramen  ",  Ramen  , 655 Nathan Road,655 Nathan Road Mong Kok
73,Floom Floom 鳥語,Tsim Sha Tsui,"10/F, The Lamma Tower, 12-12A Hau Fook Street, Tsim Sha Tsui",32921.0,311.0,47.0,264.0,518,gp1,150,"  Japanese ,  Coffee Shop  ",  Coffee Shop  , 12-12A Hau Fook Street,12-12A Hau Fook Street Tsim Sha Tsui
74,Mt. Chokai 鳥海山鐵板燒,Cheung Sha Wan,"Shop 18, G/F, Florence Plaza, 23 Cheung Wah Street, Cheung Sha Wan",4561.0,233.0,7.0,226.0,255,gp1,300,"  Japanese ,  Teppanyaki  ",  Teppanyaki  , 23 Cheung Wah Street,23 Cheung Wah Street Cheung Sha Wan
75,Shichi Fuku San Japanese Restaurant 七福神和食亭,Jordan,"1/F, 311-313 Nathan Road, Jordan",44476.0,1175.0,37.0,1138.0,1430,gp1,150,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , 311-313 Nathan Road,311-313 Nathan Road Jordan
76,Tosu 鳥棲日本料理,Kwun Tong,"Shop S, 5/F, Camelpaint Building Block 3, 60 Hoi Yuen Road, Kwun Tong",18230.0,377.0,13.0,364.0,458,gp1,150,"  Japanese ,  Skewer  ",  Skewer  , 60 Hoi Yuen Road,60 Hoi Yuen Road Kwun Tong
77,Ranbashi Donburi Restaurant 嵐橋丼飯專門店,Tsim Sha Tsui,"Shop BCD, Rich Tower, 2 Blenheim Ave, Minden Ave, Tsim Sha Tsui",26899.0,512.0,6.0,506.0,558,gp1,150,"  Japanese ,  Sushi/Sashimi  ",  Sushi/Sashimi  , Minden Ave,Minden Ave Tsim Sha Tsui
78,Itsupon Syokudou 一本食堂,Kwun Tong,"3/F, 30 Hung To Road, Kwun Tong",6934.0,267.0,4.0,263.0,299,gp1,75,"  Japanese ,  Ramen  ",  Ramen  , 30 Hung To Road,30 Hung To Road Kwun Tong
79,Yahataya Shabu Shabu 八幡屋涮涮鍋,Mong Kok,"12/F, King Wah Centre, 628 Nathan Road, Mong Kok",42801.0,1093.0,72.0,1021.0,1296,gp1,300,"  Japanese ,  Hot Pot  ",  Hot Pot  , 628 Nathan Road,628 Nathan Road Mong Kok
80,秘 (偉晴街),Jordan,"G/F, 11 Wai Ching Street, Jordan",27939.0,298.0,6.0,292.0,393,gp1,150,"  Japanese ,  Roast Meat  ",  Roast Meat  , 11 Wai Ching Street,11 Wai Ching Street Jordan
